name:ID;:LABEL
Zhang-Wei Hong;Author
Duilio Cirino;Author
Mirco Mutti;Author
Riccardo Zamboni;Author
Adrien Bolland;Author
Damien Ernst;Author
Gaspard Lambrechts;Author
Brett Daley;Author
Ankur Moitra;Author
Noah Golowich;Author
Matthijs T. J. Spaan;Author
Miguel Suau;Author
Chen Tang 0001;Author
Chenran Li;Author
Jinning Li 0002;Author
Masayoshi Tomizuka;Author
Thomas Tian;Author
Wei Zhan;Author
Yuxin Chen;Author
Shuicheng Yan;Author
Zhongwen Xu;Author
Kartik Choudhary;Author
Anna Harutyunyan;Author
David Abel;Author
Mark K. Ho;Author
Raksha Kumaraswamy;Author
Bjarne Gregori;Author
Jannis Blüml;Author
Kristian Kersting;Author
Quentin Delfosse;Author
Sebastian Sztwiertnia;Author
Immanuel Trummer;Author
Junxiong Wang;Author
Kaiwen Wang;Author
Nathan Kallus;Author
Yueying Li;Author
Alessandro Farinelli;Author
Davide Camponogara;Author
Alborz Geramifard;Author
Rohan Chitnis;Author
Shentao Yang;Author
Bram M. Renting;Author
Catholijn M. Jonker;Author
Thomas M. Moerland;Author
Motoki Omura;Author
Tatsuya Harada;Author
Yusuke Mukuta;Author
Anthony GX-Chen;Author
Nicolas Carion;Author
Vlad Sobal;Author
Wancong Zhang;Author
Yann LeCun;Author
Ronald Parr;Author
Sam Lobel;Author
Caleb Chuck;Author
Kevin Black;Author
Max Rudolph;Author
Misha Lvovsky;Author
Scott Niekum;Author
Avanti Bhandarkar;Author
Damon L. Woodard;Author
Daniel E. Capecci;Author
Olivia P. Dizon-Paradis;Author
Stephen E. Wormald;Author
Honghao Wei;Author
George Konidaris 0001;Author
Rafael Rodríguez-Sánchez 0002;Author
Arash A. Amini;Author
Shuang Wu;Author
Alin Albu-Schäffer;Author
Antonin Raffin;Author
Freek Stulp;Author
Jens Kober;Author
João Silvério;Author
Christopher Amato;Author
Daniel Melcer;Author
Stavros Tripakis;Author
Benjamin Ellis;Author
Cong Lu;Author
Michael T. Matthews;Author
Bart Verheecke;Author
Davy Suvée;Author
María Agustina Cibrán;Author
Viviane Jonckers;Author
Wim Vanderperren;Author
Hongjian Fan;Author
Kotagiri Ramamohanarao;Author
David L. Martin 0001;Author
Deborah L. McGuinness;Author
Drew V. McDermott;Author
Evren Sirin;Author
Katia P. Sycara;Author
Mark H. Burstein;Author
Massimo Paolucci 0001;Author
Naveen Srinivasan;Author
Sheila A. McIlraith;Author
Jeffrey Scott Vitter;Author
Lipyeow Lim;Author
Min Wang 0001;Author
Ramesh C. Agarwal;Author
Sriram Padmanabhan;Author
Andrzej Cichocki;Author
Dimitrios Georgakopoulos 0001;Author
Donald Baker;Author
Marian H. Nodine;Author
Clement T. Yu;Author
Hai He;Author
Weiyi Meng;Author
Yiyao Lu;Author
Zonghuan Wu;Author
Bing Liu 0001;Author
Yanhong Zhai;Author
Istvan Beszteri;Author
Petri Vuorimaa;Author
Fatih Gelgi;Author
Hasan Davulcu;Author
Srinivas Vadrevu;Author
Daniel A. Menascé;Author
Vasudeva Akula;Author
Anis Charfi;Author
Mira Mezini;Author
Anne H. H. Ngu;Author
Erich J. Neuhold;Author
Masaru Kitsuregawa;Author
Morgan Ericsson;Author
Jean-Philippe Martin-Flatin;Author
Welf Löwe;Author
Mohammad Arif Ul Alam;Author
Nilavra Pathak;Author
Nirmalya Roy;Author
Manuel Bautista Garcia;Author
António A. Moreira;Author
Manuel J. de S. Santos;Author
Vânia Carlos;Author
Tom Page;Author
Diógines Goldoni;Author
Helena Macedo Reis;Author
Mateus Morial Carrascoso;Author
Patrícia A. Jaques;Author
Jane E. Sinclair;Author
Russell Boyatt;Author
Daniela Bartalesi-Graf;Author
David N. O'Steen;Author
João Filipe Matos;Author
Nikoletta Agonács;Author
Sean Duignan;Author
Tony Hall;Author
Antonio Sánchez-Mena;Author
Enrique Navarro-Asencio;Author
Sandra Gutiérrez Vega;Author
Sara Redondo-Duarte;Author
Arthur C. Graesser;Author
Scotty D. Craig;Author
Sidney K. D'Mello;Author
Aimee Pernsteiner;Author
D'Arcy Becker;Author
Dawna Drum;Author
Rafiza Abdul Razak;Author
Siti Hajar Halili;Author
Mohammad Kaisb Layous Alhasnawi;Author
Salih Hajem Glood;Author
Suad Shatti Azeez;Author
Georgia Virla;Author
Nikolaos K. Tselios;Author
Vassilis Komis;Author
Christophe Reffay;Author
Mahdi Miled;Author
Mona Laroussi;Author
Ali Farhan AbuSeileek;Author
Jarkko Suhonen;Author
Joseph Friday Agbo;Author
Markku Tukiainen;Author
Solomon Sunday Oyelere;Author
Bijay Kumar Paikaray;Author
Chandrakant Mallick;Author
Jayanta Mondal;Author
Syamalendu Pati;Author
Chang Zhu;Author
Haruni Machumu;Author
Aikaterini Alexiou;Author
Aikaterini-Maria Souki;Author
Fotini Paraskeva;Author
Kyparisia A. Papanikolaou;Author
Hajer Faci;Author
Karima Azzouz;Author
Wassila Herkas;Author
Yacine Lafifi;Author
Eric K. W. Lau;Author
Chi-Un Lei;Author
Chun Yin Cham;Author
Kwok Wing Chow;Author
John Champaign;Author
Robin Cohen;Author
Stefan Reindl;Author
Aysegul Liman Kaban;Author
Gizem Kara;Author
Jatinder Sandhu;Author
Leela Damodaran;Author
Elisabet Serrat-Sellabona;Author
Juan González-Martínez;Author
Meritxell Estebanell-Minguell;Author
Moisès Esteban-Guitart;Author
V. Senthil Kumaran;Author
Mc Donald Van der Merwe;Author
Amar Balla;Author
Issam Rebaï;Author
Jean-Marc Labat;Author
Nabila Bousbia;Author
Souad Kamoun-Chouk;Author
Jean-Michel Adam;Author
Nadine Mandran;Author
Sandra Michelet;Author
Vanda Luengo;Author
Diana Ragbir;Author
Permanand Mohan;Author
Feng-Kwei Wang;Author
Sanda Erdelez;Author
Wu He;Author
Amrita Kaur;Author
Bui Thi Thuy Hang;Author
Tran Van Hung;Author
Débora Nice Ferrari Barbosa;Author
Guilherme T. Schneider;Author
João B. Mossmann;Author
Paulo Dos Santos;Author
Anass Bayaga;Author
David Mutambara;Author
Diane J. Litman;Author
Michael Lipschultz;Author
Pamela W. Jordan;Author
Patricia L. Albacete;Author
Sandra Katz;Author
Fanica Young;Author
Heidi Masters;Author
Jim Carlson;Author
Yuko Iwai;Author
Anat Oster-Levinz;Author
Aviva Klieger;Author
Mingzhuo Liu;Author
Zhiting Zhu;Author
Djamila Mohdeb;Author
Meriem Laifa;Author
Mouhoub Belazzoug;Author
Samir Akhrouf;Author
Azeddine Chikh;Author
Karim Bouamrane;Author
Karim Sehaba;Author
Mohammed Tadlaoui;Author
Sébastien George;Author
Lorna Uden;Author
Namon Jeerungsuwan;Author
Pallop Piriyasurawong;Author
Purita Sayavaranont;Author
Aykut Hamit Turan;Author
Mohammad Naserinia;Author
Poonam Chhaniwal;Author
Tejas R. Shah;Author
Chee-Kit Looi;Author
Anastasios Koutoumanos;Author
Cleo Sgouropoulou;Author
Christina Kokini;Author
Jason Moss;Author
Meredith B. Carroll;Author
Francisco Ortega-Moreno;Author
Isaid Reyes-Martínez;Author
Manuel Santos-Trigo;Author
Christopher Wegemer;Author
Adriana J. Berlanga;Author
Francisco J. García-Peñalvo;Author
Alessandro Vivas Andrade;Author
Clarivando Francisco Belizário Júnior;Author
Fabiano Azevedo Dorça;Author
Luciana Pereira de Assis;Author
Ahmad Fauzi Mohd Ayub;Author
Hajar Ghadirian;Author
Keyvan Salehi;Author
Griff Richards;Author
Marek Hatala;Author
Nurhidayah Bahar;Author
Wardatul Hayat Adnan;Author
Alvaro Ortigosa;Author
Félix Muñoz;Author
Dimitris N. Kanellopoulos;Author
Fernando Molina Granja;Author
Luis Rivera Escriba;Author
Raul Marcelo Lozada;Author
James Dalziel;Author
Patrick McAndrew;Author
Peter Goodyear;Author
David C. Gibson;Author
Gerald Knezek;Author
Rhonda Christensen;Author
Tandra L. Tyler-Wood;Author
Viktorija Florjancic;Author
Danielle S. McNamara;Author
Laura K. Varner;Author
Rod D. Roscoe;Author
Scott A. Crossley;Author
David Raymond;Author
Kazuhide Kanenishi;Author
Kenji Matsuura;Author
Yoneo Yano;Author
Andrea McCrindle;Author
Hitendra Pillay;Author
Kym Irving;Author
Fábio Luciano Verdi;Author
Luciana A. M. Zaina;Author
Pedro F. Zanetti;Author
Ehab Ghoneim;Author
Naglaa Megahed;Author
Kyriakos Demetriou;Author
Jeremy Straub;Author
Ann Blandford;Author
Jawad Berri;Author
Rachid Benlamri;Author
Yacine Atif;Author
Michael Vallance;Author
Phillip A. Towndrow;Author
Jesús I. Rivas-García;Author
Marta Magadán-Díaz;Author
Fabienne Viallet;Author
Mathieu Muratet;Author
Patrice Torguet;Author
Élisabeth Delozanne;Author
Liz Falconer;Author
Elmer D. Dela Rosa;Author
Muhammad Ikhlas;Author
Angel A. Juan;Author
Fatos Xhafa;Author
Javier Faulin;Author
Thanasis Daradoumis;Author
Hannu Toivonen;Author
Tuomas Tanner;Author
Eng-Thiam Yeoh;Author
Lian Kei Soo;Author
Sin Ban Ho;Author
Christelle Mariais;Author
Florence Michau;Author
Jean-Philippe Pernin;Author
Valérie Emin-Martinez;Author
Amanda Pratt;Author
Aviva Dorfman;Author
Jeff Kupperman;Author
Jeremiah Holden;Author
Pagan MacKay;Author
Tim Saunders;Author
Jan van Bruggen;Author
Pierre Gorissen;Author
Wim M. G. Jochems;Author
Jonathan Brinkerhoff;Author
Krista D. Glazewski;Author
Devesh Kumar;Author
Sapna Koul;Author
Shard;Author
Jules M. Pieters;Author
Nabeel Mohsin Albashiry;Author
Alain Mille;Author
Olivier Champalle;Author
Adu Emmanuel Ifedayo;Author
Azidah Abu Ziden;Author
Katherine Taken Smith;Author
Stefan Linnhoff;Author
Amarolinda Iara da Costa Zanela Saccol;Author
Jorge Luis Victória Barbosa;Author
Rodrigo Machado Hahn;Author
Dov Dori;Author
Miri Barak;Author
Sergey Kozyrev;Author
Awatif M. AbuAlshar;Author
Allison Rossett;Author
Lisa Schafer;Author
Emmanuel Kwasi Boateng;Author
Marien Alet Graham;Author
Ugorji Iheanachor Ogbonnaya;Author
Alfyananda Kurnia Putra;Author
Heni Masruroh;Author
Robby Hilmi Rachmadian;Author
Sumarmi Sumarmi;Author
Adrián Gómez-Arciga;Author
Khalid Samara;Author
Yasir Javed;Author
Ana Dolores Vargas Sánchez;Author
Edgar Guillermo Pulido Guerrero;Author
Hagit Krisher;Author
Nirit Yuviler-Gavish;Author
Constantin Halatsis;Author
Makis Leontidis;Author
Maria Grigoriadou;Author
Haya Ajjan;Author
Richard Hartshorne;Author
Yingxia Cao;Author
Xiaojing Song;Author
Ahmad Ibrahim Etheris;Author
Seng Chee Tan;Author
Michalis Xenos;Author
Sotiris Kotsiantis;Author
Jiayun Yan;Author
Ting Wang;Author
Yanghee Kim;Author
Gyöngyvér Molnár;Author
Saleh Ahmad Alrababah;Author
Ema Kusen;Author
Natasa Hoic-Bozic;Author
Bert van den Berg;Author
Hans G. K. Hummel;Author
Hendrik Drachsler;Author
José Janssen;Author
Rob Koper;Author
Rob Nadolski;Author
Alexandra I. Cristea;Author
Colin Tattersall;Author
Craig D. Stewart;Author
Daniel Burgos;Author
David Smits;Author
Erica Melis;Author
Geert-Jan Houben;Author
Marcus Specht;Author
Maristella Matera;Author
Milos Kravcik;Author
Natalia Stash;Author
Paul De Bra;Author
Paul Libbrecht;Author
Peter Dolog;Author
Stefano Ceri;Author
Vladan Devedzic;Author
Wolfgang Nejdl;Author
Joke Voogt;Author
Kassimu A. Nihuka;Author
Joseph I. Tracy;Author
Michael R. Sperling;Author
Noman Ahmed;Author
Waseem Khan;Author
Eric Charles Harris;Author
Judith Good;Author
Madeline Alsmeyer;Author
Rosemary Luckin;Author
Nam Tien Duong;Author
Thuy Dung Pham Thi;Author
Francis Brouns;Author
Liesbeth Kester;Author
Peter B. Sloep;Author
Peter van Rosmalen;Author
Rosalina Babo;Author
James Aczel;Author
James C. Lester;Author
Scott W. McQuiggan;Author
Christopher J. Thompson;Author
Rebecca L. Hite;Author
Barbara Hammer;Author
Bassam Mokbel;Author
Benjamin Paaßen;Author
Niels Pinkwart;Author
Sebastian Gross;Author
Margaret Devine;Author
Christoph Quix;Author
Matthias Jarke;Author
Mohamed Amine Chatti;Author
Badr Saleh Al-Abdi;Author
Faisal Ali Mohammed Ali;Author
Mahmoud M. Badr;Author
Rozilah Kasim;Author
Claire Rocks;Author
Jonathan Foss;Author
Dora Simões;Author
Gillian Moreira;Author
Nuno Soares;Author
Andrea Harpine Adams;Author
Joshua Mathews-Ailsworth;Author
Shenghua Zha;Author
Anne-Maria Aho;Author
Sanna Rimpiläinen;Author
Song-ee Ahn;Author
Kenneth David Strang;Author
Darien E. Rossiter;Author
Michael Crock;Author
David J. Pauleen;Author
Eusebio Scornavacca Jr.;Author
Hartmut Hoehle;Author
Emily C. Bouck;Author
Kristen Kereluik;Author
Leigh Graves Wolf;Author
Matthew J. Koehler;Author
Michael DeSchryver;Author
Punya Mishra;Author
Tae Seob Shin;Author
Gísli Thorsteinsson;Author
Miika Lehtonen;Author
Ebenezer Anohah;Author
Thomas C. Reeves;Author
Linda A. Macaulay;Author
Yin Leng Tan;Author
Keith D. Baker;Author
Ani Grubisic;Author
Ines Saric-Grgic;Author
Maja Stula;Author
Slavomir Stankov;Author
Gisela Dösinger;Author
Herwig Rollett;Author
Klaus Tochtermann;Author
Markus Strohmaier;Author
Mathias Lux;Author
Jean-Charles Marty;Author
Philippe Pernelle;Author
Thibault Carron;Author
Geoff Skinner;Author
Heba Fasihuddin;Author
Rukshan Athauda;Author
Heena Choudhary;Author
Nidhi Bansal;Author
Fabien Fenouillet;Author
Jonathan Kaplan;Author
I-Chun Tsai;Author
I-Pei Tung;Author
James M. Laffey;Author
Feng Wang;Author
Yitong Liu;Author
Ze Liu;Author
Zhu Zou;Author
Jeremiah Sullins;Author
Abdellah Idrissi;Author
Aicha Er-Rafyg;Author
Kaoutar El Handri;Author
Amy Roberts;Author
Gregory S. Ching;Author
Ahmad Rizal Ahmad Rodzuan;Author
Carolyn Salimun;Author
Wan Nooraishya Wan Ahmad;Author
Shanthini Ramachandran;Author
B. L. William Wong;Author
Janet Rountree;Author
Robert Hannah;Author
Dave Lees;Author
Victoria Carpenter;Author
Renate Limbach;Author
Ton de Jong;Author
Hala Bezine;Author
Fernando Sánchez-Figueroa;Author
Guadalupe Ortiz 0001;Author
Juan Carlos Preciado;Author
Marino Linaje Trigueros;Author
Sara Comai;Author
Leili Mosalanejad;Author
Mohsen Keshavarz;Author
Hassan M. Alsuwayed;Author
Stephen J. Thorpe;Author
Cristina Hava Muntean;Author
Gabriel-Miro Muntean;Author
Jennifer McManis;Author
Daniel L. Reinholz;Author
Michael J. Jacobson;Author
Alfredo Milani;Author
Candida Gori;Author
Emanuela Falcinelli;Author
Judit Jassó;Author
Simonetta Pallottelli;Author
Safa' Ali Al-Sharafat;Author
Moanes H. Tibi;Author
Baltasar Fernández-Manjón;Author
José Luis Sierra;Author
Pablo Moreno-Ger;Author
Kamakshi Rajagopal;Author
Sibren Fetter;Author
Wim van der Vegt;Author
Gregory Siy Ching;Author
Mei-Chin Lin;Author
Wei-Ling Tchong;Author
Wen-Lin Wang;Author
Alberto Fernández 0001;Author
Daniel Peralta;Author
Francisco Herrera;Author
José Manuel Benítez 0001;Author
Claire Bradley;Author
Ken Fisher;Author
Peter Chalk;Author
Poppy Pickard;Author
Tom Boyle;Author
João Batista;Author
Sara Vilarinho;Author
Angga Hidayat;Author
Muhammad Zulqurnain Ul Haq Qazi;Author
Tryanti Abdulrahman;Author
Carine Edith Touré;Author
Christine Michel;Author
Anne Marie Piper;Author
James D. Hollan;Author
Whitney Friedman;Author
Efthimios Tambouris;Author
Konstantinos A. Tarabanis;Author
Stefania Borona;Author
Muhammad Ahsan Sadiq;Author
Ahmad Abdel-Hafez;Author
Areej Yousef;Author
Eunjae Park;Author
Yangsheng Zheng;Author
Clayton Henrichson;Author
Katie Console;Author
Rebecca Denton;Author
Steven Barber;Author
Samer Hanna;Author
Christos Katsanos;Author
Spiridoula Kakaraki;Author
Jihen Malek;Author
Albert A. Angehrn;Author
Bertrand Sereno;Author
Katrina Maxwell;Author
Kasim Yildirim;Author
Ridvan Ata;Author
Deller James Ferreira;Author
Jorge Lucas Pimmel Pacheco;Author
Luciana de Oliveira Berreta;Author
Tiago do Carmo Nogueira;Author
Amit Jain;Author
Tejal T. Shah;Author
Budour Almisad;Author
Robin Mason;Author
Aysegül Gencan;Author
Dilara Arzugül Aksoy;Author
Hasan Sen;Author
Ünal Çakiroglu;Author
Gordon Smith;Author
Jonathan D. Moizer;Author
Jonathan Lean;Author
Michael Towler;Author
Antonio Víctor Martín-García;Author
Juanjo Mena;Author
María Cruz Sánchez Gómez;Author
Alberto Faro;Author
Daniela Giordano;Author
Simona Mineo;Author
Avuduri Venkata Amarnadh Reddy;Author
G. Varaprasad 0002;Author
Vishnu Lal;Author
Noor Azean Atan;Author
Yohana Ayu Kristanti;Author
Evangelos Kalampokis;Author
Maria Zotou;Author
Luis Manuel Vaz;Author
Nuno David;Author
Christina Tikva;Author
Dimitrios Trakosas;Author
Faiçal Azouaou;Author
Lamia Berkani;Author
Yamina Aissaoui;Author
Josef Guggemos;Author
Katarina Stanoevska-Slabeva;Author
Sabine Seufert;Author
Amit Shelef;Author
Gali Naveh;Author
Anwar Meddaoui;Author
Hakim Allali;Author
Sami Hachmoud;Author
José Fernández-Cerero;Author
Marta Montenegro Rueda;Author
Donna Ure;Author
Stephanie Allen;Author
Stephen Evans;Author
Damilola David Popoola;Author
Kennedy Arebamen Eiriemiokhale;Author
Rafiu Mope Isiaka;Author
Ronke Seyi Babatunde;Author
Puyiqiu Liu;Author
Xiaoshu Xu;Author
Yun Feng Zhang;Author
Zheng Huang;Author
Birgit Schmitz;Author
Roland Klemke;Author
Anarosa A. F. Brandão;Author
Leônidas de Oliveira Brandão;Author
Seiji Isotani;Author
Karim Sadeghi;Author
Nasrin Hadidi Tamjid;Author
Sonour Esmaeili;Author
Zohreh Seifoori;Author
Jocelyn Manderveld;Author
David Hung Wei Loong;Author
Kah Lay So;Author
Maurice Hendrix;Author
Mike Joy;Author
Sara Kalvala;Author
Aydin Aslan;Author
Veli Batdi;Author
Wen-Chi Hu;Author
Fezile Ozdamli;Author
Consolación Gil;Author
Francisco G. Montoya;Author
Maria Dolores Gil Montoya;Author
Raul Baños;Author
Rosario I. Herrada;Author
Hiroshi Numata;Author
Dan Powley;Author
Hilary Dexter;Author
Jim Petch;Author
Iza Marfisi-Schottman;Author
Brent Fonville;Author
Rick Dale;Author
Kathleen Scalise;Author
César A. Collazos 0001;Author
Fernando Moreira;Author
Francisco Luis Gutiérrez Vela;Author
Jeferson Arango-López;Author
Amanda Jefferies;Author
Claire O'Malley;Author
Giasemi N. Vavoula;Author
Jenny Waycott;Author
Josie Taylor;Author
Mike Sharples;Author
Angeliki Antoniou;Author
Costas Vassilakis 0001;Author
Dimitris Diakakis;Author
George Lepouras;Author
David H. Jonassen;Author
Jane Howland;Author
John Wedman;Author
Rose M. Marra;Author
Canan Tosunoglu Blake;Author
Cathy Lewin;Author
Eileen Scanlon;Author
Kim Issroff;Author
Mark Hepburn;Author
Brett Oppegaard;Author
Michael Rabby;Author
Francisco Javier Sandoval-Henríquez;Author
María Graciela Badilla Quintana;Author
Graça Bressan;Author
José Fernando Rodrigues Jr.;Author
Maria Angélica C. De Andrade Cardieri;Author
Cécile Paris;Author
Shijian Lu;Author
Eva Martín-Fuentes;Author
Noemi Verdú-Surroca;Author
Emad Abu-Shanab;Author
Nasrina Issa Mauji;Author
Zaki Shoheib;Author
Hong Jiao;Author
Shudong Wang;Author
