article:ID;author:string[];author-aux:string;author-orcid:string[];booktitle:string;cdate:date;cdrom:string;cite:string[];cite-label:string[];crossref:string;editor:string[];editor-orcid:string[];ee:string[];ee-type:string[];i:string[];journal:string;key:string;mdate:date;month:string;note:string[];note-label:string;note-type:string[];number:string;pages:string;publisher:string;publnr:string;publtype:string;stream:string;sub:string[];sup:string[];title:string;title-bibtex:string;tt:string[];url:string[];volume:string;year:int
1054877;Ho Long Fung|Mirco Musolesi|Stephen Hailes|Victor-Alexandru Darvariu;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper103.html;oa;;RLJ;conf/rlc/FungDHM24;2025-03-26;;;;;;714-732;;;;;;;Trust-based Consensus in Multi-Agent Reinforcement Learning Systems.;;;db/journals/rlj/rlj2.html#FungDHM24;2;2024.0
1054878;Erin J. Talvitie|Huiying Li|Jacob Boerma|Jinghan Hu|Rory Zhao|Xintong Wang|Zilei Shao;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper356.html;oa;;RLJ;conf/rlc/TalvitieSLHBZW24;2025-03-26;;;;;;2440-2460;;;;;;;Bounding-Box Inference for Error-Aware Model-Based Reinforcement Learning.;;;db/journals/rlj/rlj5.html#TalvitieSLHBZW24;5;2024.0
1054879;Frieda Rong|Max Kleiman-Weiner;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper129.html;oa;;RLJ;conf/rlc/RongK24;2025-03-26;;;;;;1060-1071;;;;;;;Value Internalization: Learning and Generalizing from Social Reward.;;;db/journals/rlj/rlj3.html#RongK24;3;2024.0
1054880;Kellen Kanarios|Lei Ying 0001|Qining Zhang;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper193.html;oa;;RLJ;conf/rlc/KanariosZ024;2025-03-26;;;;;;1533-1545;;;;;;;Cost Aware Best Arm Identification.;;;db/journals/rlj/rlj4.html#KanariosZ024;4;2024.0
1054881;Seungki Min|Woojin Jeong;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper4.html;oa;;RLJ;conf/rlc/JeongM24;2025-03-26;;;;;;16-28;;;;;;;Improving Thompson Sampling via Information Relaxation for Budgeted Multi-armed Bandits.;;;db/journals/rlj/rlj1.html#JeongM24;1;2024.0
1054882;A. Rupam Mahmood|Clare Lyle|Mohamed Elsayed 0003|Qingfeng Lan;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper307.html;oa;;RLJ;conf/rlc/0003LLM24;2025-03-26;;;;;;2198-2217;;;;;;;Weight Clipping for Deep Continual and Reinforcement Learning.;;;db/journals/rlj/rlj5.html#0003LLM24;5;2024.0
1054883;Mhairi Dunion|Stefano V. Albrecht;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper64.html;oa;;RLJ;conf/rlc/DunionA24;2025-03-26;;;;;;498-515;;;;;;;Multi-view Disentanglement for Reinforcement Learning with Multiple Cameras.;;;db/journals/rlj/rlj2.html#DunionA24;2;2024.0
1054884;Audrey Huang|Marek Petrik|Mohammad Ghavamzadeh|Nan Jiang 0008;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper28.html;oa;;RLJ;conf/rlc/HuangGJP24;2025-03-26;;;;;;182-197;;;;;;;Non-adaptive Online Finetuning for Offline Reinforcement Learning.;;;db/journals/rlj/rlj1.html#HuangGJP24;1;2024.0
1054885;Adam White 0001|Andrew Patterson|Martha White|Parham Mohammad Panahi;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper265.html;oa;;RLJ;conf/rlc/PanahiPW024;2025-03-26;;;;;;2041-2058;;;;;;;Investigating the Interplay of Prioritized Replay and Generalization.;;;db/journals/rlj/rlj5.html#PanahiPW024;5;2024.0
1054886;Nicolas Thome|Olivier Sigaud|Zakariae El Asri;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper99.html;oa;;RLJ;conf/rlc/AsriST24;2025-03-26;;;;;;693-713;;;;;;;Physics-Informed Model and Hybrid Planning for Efficient Dyna-Style Reinforcement Learning.;;;db/journals/rlj/rlj2.html#AsriST24;2;2024.0
1054887;Jacob Beck|Matthew Thomas Jackson|Risto Vuorio|Shimon Whiteson|Zheng Xiong;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper48.html;oa;;RLJ;conf/rlc/BeckJVXW24;2025-03-26;;;;;;450-469;;;;;;;SplAgger: Split Aggregation for Meta-Reinforcement Learning.;;;db/journals/rlj/rlj1.html#BeckJVXW24;1;2024.0
1054888;Alexandre Arnold|Benjamin Devillers|Léopold Maytié|Rufin VanRullen;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper170.html;oa;;RLJ;conf/rlc/MaytieDAV24;2025-03-26;;;;;;1410-1426;;;;;;;Zero-shot cross-modal transfer of Reinforcement Learning policies through a Global Workspace.;;;db/journals/rlj/rlj3.html#MaytieDAV24;3;2024.0
1054889;Gintare Karolina Dziugaite|Jakob Nicolaus Foerster|Johan S. Obando-Ceron|Pablo Samuel Castro|Timon Willi;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper130.html;oa;;RLJ;conf/rlc/WilliOFDC24;2025-08-19;;;;;;1072-1105;;;;;;;Mixture of Experts in a Mixture of RL settings.;;;db/journals/rlj/rlj3.html#WilliOFDC24;3;2024.0
1054890;A. Rupam Mahmood|Doina Precup|Haque Ishfaq|Jianfeng Lu|Pan Xu 0002|Qingfeng Lan|Yixin Tan|Yu Yang 0019;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper148.html;oa;;RLJ;conf/rlc/IshfaqT0LLMP024;2026-02-16;;;;;;1211-1235;;;;;;;More Efficient Randomized Exploration for Reinforcement Learning via Approximate Sampling.;;;db/journals/rlj/rlj3.html#IshfaqT0LLMP024;3;2024.0
1054891;Adam White 0001|Edan Meyer|Marlos C. Machado;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper84.html;oa;;RLJ;conf/rlc/Meyer0M24;2025-03-26;;;;;;606-628;;;;;;;Harnessing Discrete Representations for Continual Reinforcement Learning.;;;db/journals/rlj/rlj2.html#Meyer0M24;2;2024.0
1054892;Jinzhao Li|Nan Jiang 0012|Yexiang Xue;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper50.html;oa;;RLJ;conf/rlc/0012LX24;2025-03-26;;;;;;470-480;;;;;;;A Tighter Convergence Proof of Reverse Experience Replay.;;;db/journals/rlj/rlj1.html#0012LX24;1;2024.0
1054893;Fabian Otto|Gerhard Neumann|Philipp Becker|Sebastian Mossburger;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper208.html;oa;;RLJ;conf/rlc/BeckerMON24;2025-03-26;;;;;;1619-1655;;;;;;;Combining Reconstruction and Contrastive Methods for Multimodal Representations in RL.;;;db/journals/rlj/rlj4.html#BeckerMON24;4;2024.0
1054894;Cyrus Cousins|Elita A. Lobo|Kavosh Asadi|Michael Littman 0002;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper133.html;oa;;RLJ;conf/rlc/CousinsAL024;2025-03-26;;;;;;1124-1137;;;;;;;On Welfare-Centric Fair Reinforcement Learning.;;;db/journals/rlj/rlj3.html#CousinsAL024;3;2024.0
1054895;Qiaomin Xie|Yixuan Zhang;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper144.html;oa;;RLJ;conf/rlc/ZhangX24;2025-03-26;;;;;;1168-1210;;;;;;;Constant Stepsize Q-learning: Distributional Convergence, Bias and Extrapolation.;;;db/journals/rlj/rlj3.html#ZhangX24;3;2024.0
1054896;Amir-massoud Farahmand|Claas Voelcker|Igor Gilitschenski|Tyler Kastner;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper197.html;oa;;RLJ;conf/rlc/VoelckerKGF24;2025-03-26;;;;;;1567-1597;;;;;;;When does Self-Prediction help? Understanding Auxiliary Tasks in Reinforcement Learning.;;;db/journals/rlj/rlj4.html#VoelckerKGF24;4;2024.0
1054897;Fuchun Sun 0001|Tianying Ji|Xianyuan Zhan|Yu Luo;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper104.html;oa;;RLJ;conf/rlc/Luo0JZ24;2025-03-26;;;;;;733-762;;;;;;;Bidirectional-Reachable Hierarchical Reinforcement Learning with Mutually Responsive Policies.;;;db/journals/rlj/rlj2.html#Luo0JZ24;2;2024.0
1054898;Anurag Aribandi|Connor Mattson|Daniel S. Brown;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper228.html;oa;;RLJ;conf/rlc/MattsonAB24;2025-03-26;;;;;;1822-1840;;;;;;;Representation Alignment from Human Feedback for Cross-Embodiment Reward Learning from Mixed-Quality Demonstrations.;;;db/journals/rlj/rlj4.html#MattsonAB24;4;2024.0
1054899;Aditya Kapoor|Benjamin Freed|Howie Choset|Jeff Schneider 0001;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper45.html;oa;;RLJ;conf/rlc/KapoorF0C24;2025-03-26;;;;;;380-399;;;;;;;Assigning Credit with Partial Reward Decoupling in Multi-Agent Proximal Policy Optimization.;;;db/journals/rlj/rlj1.html#KapoorF0C24;1;2024.0
1054900;Bernd Frauenknecht|Emma Cramer|Ramil Sabirov|Sebastian Trimpe;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper118.html;oa;;RLJ;conf/rlc/CramerFST24;2025-03-26;;;;;;926-945;;;;;;;Contextualized Hybrid Ensemble Q-learning: Learning Fast with Control Priors.;;;db/journals/rlj/rlj2.html#CramerFST24;2;2024.0
1054901;Abdulaziz Almuzairee|Henrik I. Christensen|Nicklas Hansen 0001;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper26.html;oa;;RLJ;conf/rlc/Almuzairee0C24;2025-03-26;;;;;;130-157;;;;;;;A Recipe for Unbounded Data Augmentation in Visual Reinforcement Learning.;;;db/journals/rlj/rlj1.html#Almuzairee0C24;1;2024.0
1054902;Christopher K. Zeitler|John Schierman|Kristina Miller|Mahesh Viswanathan 0001|Sayan Mitra 0001;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper359.html;oa;;RLJ;conf/rlc/ZeitlerMMS024;2025-11-19;;;;;;2492-2514;;;;;;;Optimizing Rewards while meeting $\omega$-regular Constraints.;;;db/journals/rlj/rlj5.html#ZeitlerMMS024;5;2024.0
1054903;Daniel S. Brown|Gersi Doko|Guang Yang|Marek Petrik;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper83.html;oa;;RLJ;conf/rlc/DokoYBP24;2025-03-26;;;;;;593-605;;;;;;;ROIL: Robust Offline Imitation Learning without Trajectories.;;;db/journals/rlj/rlj2.html#DokoYBP24;2;2024.0
1054904;Han Wang|Pascal Poupart|Philip Torr 0001|Yangchen Pan|Yudong Luo;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper81.html;oa;;RLJ;conf/rlc/LuoPW0P24;2025-03-26;;;;;;573-592;;;;;;;A Simple Mixture Policy Parameterization for Improving Sample Efficiency of CVaR Optimization.;;;db/journals/rlj/rlj2.html#LuoPW0P24;2;2024.0
1054905;He Wang 0017|Laixi Shi|Yuejie Chi;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper189.html;oa;;RLJ;conf/rlc/WangSC24;2025-07-07;;;;;;1467-1510;;;;;;;Sample Complexity of Offline Distributionally Robust Linear Markov Decision Processes.;;;db/journals/rlj/rlj3.html#WangSC24;3;2024.0
1054906;Alberto Maria Metelli|Gianluca Drappo|Marcello Restelli;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper110.html;oa;;RLJ;conf/rlc/DrappoMR24;2025-03-26;;;;;;819-839;;;;;;;A Provably Efficient Option-Based Algorithm for both High-Level and Low-Level Learning.;;;db/journals/rlj/rlj2.html#DrappoMR24;2;2024.0
1054907;Andoni Rodríguez|César Sánchez 0001|Davide Corsi|Guy Amir|Guy Katz|Roy Fox;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper224.html;oa;;RLJ;conf/rlc/CorsiARK0F24;2025-03-26;;;;;;1759-1780;;;;;;;Verification-Guided Shielding for Deep Reinforcement Learning.;;;db/journals/rlj/rlj4.html#CorsiARK0F24;4;2024.0
1054908;Kevin Tan|Ziping Xu;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper152.html;oa;;RLJ;conf/rlc/TanX24;2025-03-26;;;;;;1252-1264;;;;;;;A Natural Extension To Online Algorithms For Hybrid RL With Limited Coverage.;;;db/journals/rlj/rlj3.html#TanX24;3;2024.0
1054909;Kris De Asis|Richard S. Sutton;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper164.html;oa;;RLJ;conf/rlc/AsisS24;2025-03-26;;;;;;1306-1316;;;;;;;An Idiosyncrasy of Time-discretization in Reinforcement Learning.;;;db/journals/rlj/rlj3.html#AsisS24;3;2024.0
1054910;Benjamin Van Roy|Shi Dong 0003|Wanqiao Xu;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper277.html;oa;;RLJ;conf/rlc/Xu0R24;2025-03-26;;;;;;2107-2122;;;;;;;Posterior Sampling for Continuing Environments.;;;db/journals/rlj/rlj5.html#Xu0R24;5;2024.0
1054911;Georgy Antonov|Peter Dayan;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper122.html;oa;;RLJ;conf/rlc/AntonovD24;2025-03-26;;;;;;961-978;;;;;;;Exploring Uncertainty in Distributional Reinforcement Learning.;;;db/journals/rlj/rlj2.html#AntonovD24;2;2024.0
1054912;Emma Cramer|Holger H. Hoos|Julian Dierkes|Sebastian Trimpe;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper188.html;oa;;RLJ;conf/rlc/DierkesCHT24;2025-03-26;;;;;;1441-1466;;;;;;;Combining Automated Optimisation of Hyperparameters and Reward Shape.;;;db/journals/rlj/rlj3.html#DierkesCHT24;3;2024.0
1054913;André Biedenkapp|Karim Farid|Raghu Rajan|Sai Prasanna;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper167.html;oa;;RLJ;conf/rlc/PrasannaFRB24;2025-03-26;;;;;;1317-1350;;;;;;;Dreaming of Many Worlds: Learning Contextual World Models aids Zero-Shot Generalization.;;;db/journals/rlj/rlj3.html#PrasannaFRB24;3;2024.0
1054914;Jeremy McMahan|Jerry Zhu|Qiaomin Xie|Young Wu|Yudong Chen 0001;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper339.html;oa;;RLJ;conf/rlc/McMahanW0ZX24;2025-03-26;;;;;;2345-2358;;;;;;;Inception: Efficiently Computable Misinformation Attacks on Markov Games.;;;db/journals/rlj/rlj5.html#McMahanW0ZX24;5;2024.0
1054915;Arsalan Sharifnassab|Khurram Javed|Richard S. Sutton;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper111.html;oa;;RLJ;conf/rlc/JavedSS24;2025-03-26;;;;;;840-863;;;;;;;SwiftTD: A Fast and Robust Algorithm for Temporal Difference Learning.;;;db/journals/rlj/rlj2.html#JavedSS24;2;2024.0
1054916;Daphne Cornelisse|Eugene Vinitsky;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper338.html;oa;;RLJ;conf/rlc/CornelisseV24;2025-03-26;;;;;;2320-2344;;;;;;;Human-compatible driving agents through data-regularized self-play reinforcement learning.;;;db/journals/rlj/rlj5.html#CornelisseV24;5;2024.0
1054917;Abhishek Naik|Manan Tomar|Richard S. Sutton|Yi Wan 0004;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper261.html;oa;;RLJ;conf/rlc/Naik0TS24;2025-03-26;;;;;;1995-2016;;;;;;;Reward Centering.;;;db/journals/rlj/rlj4.html#Naik0TS24;4;2024.0
1054918;Aaron C. Courville|Juan Agustin Duque|Milad Aghajohari|Shunichi Akatsuka|Tim Cooijmans;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper108.html;oa;;RLJ;conf/rlc/AghajohariCDAC24;2025-03-26;;;;;;798-818;;;;;;;Best Response Shaping.;;;db/journals/rlj/rlj2.html#AghajohariCDAC24;2;2024.0
1054919;Georg Martius|Jin Cheng 0002|Marin Vlastelica|Pavel Kolev;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper169.html;oa;;RLJ;conf/rlc/Vlastelica0MK24;2025-03-26;;;;;;1377-1409;;;;;;;Offline Diversity Maximization under Imitation Constraints.;;;db/journals/rlj/rlj3.html#Vlastelica0MK24;3;2024.0
1054920;Elaine Short|James Staley|Shivam Goel|Yash Shukla;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper236.html;oa;;RLJ;conf/rlc/StaleySGS24;2025-03-26;;;;;;1873-1886;;;;;;;Agent-Centric Human Demonstrations Train World Models.;;;db/journals/rlj/rlj4.html#StaleySGS24;4;2024.0
1054921;Aaron C. Courville|Johan S. Obando-Ceron|João Guilherme Madeira Araújo|Pablo Samuel Castro;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper128.html;oa;;RLJ;conf/rlc/Obando-CeronACC24;2025-08-19;;;;;;1037-1059;;;;;;;On the consistency of hyper-parameter selection in value-based deep reinforcement learning.;;;db/journals/rlj/rlj3.html#Obando-CeronACC24;3;2024.0
1054922;Kaushik Subramanian|Kenta Kawamoto|Miguel Vasco|Peter R. Wurman|Peter Stone 0001|Takuma Seno;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper213.html;oa;;RLJ;conf/rlc/VascoSKSWS24;2025-03-26;;;;;;1674-1710;;;;;;;A Super-human Vision-based Reinforcement Learning Agent for Autonomous Racing in Gran Turismo.;;;db/journals/rlj/rlj4.html#VascoSKSWS24;4;2024.0
1054923;Benjamin Freed|Howie Choset|Jeff Schneider 0001|Roberto Calandra|Thomas Wei;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper37.html;oa;;RLJ;conf/rlc/FreedWC0C24;2025-03-26;;;;;;283-301;;;;;;;Unifying Model-Based and Model-Free Reinforcement Learning with Equivalent Policy Sets.;;;db/journals/rlj/rlj1.html#FreedWC0C24;1;2024.0
1054924;Alberto Maria Metelli|Giorgio Manganini|Marcello Restelli|Matteo Papini;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper90.html;oa;;RLJ;conf/rlc/PapiniMMR24;2025-03-26;;;;;;645-675;;;;;;;Policy Gradient with Active Importance Sampling.;;;db/journals/rlj/rlj2.html#PapiniMMR24;2;2024.0
1054925;Anthony Corso 0001|Jef Caers|Mykel J. Kochenderfer|Robert J. Moss;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper27.html;oa;;RLJ;conf/rlc/Moss0CK24;2025-03-26;;;;;;158-181;;;;;;;BetaZero: Belief-State Planning for Long-Horizon POMDPs using Learned Approximations.;;;db/journals/rlj/rlj1.html#Moss0CK24;1;2024.0
1054926;Jan de Priester|Prashant Ganesh|Ricardo G. Sanfelice|Zachary I. Bell;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper263.html;oa;;RLJ;conf/rlc/PriesterBGS24;2025-03-26;;;;;;2017-2040;;;;;;;MultiHyRL: Robust Hybrid RL for Obstacle Avoidance against Adversarial Attacks on the Observation Space.;;;db/journals/rlj/rlj4.html#PriesterBGS24;4;2024.0
1054927;Allan Zhou|Aravind Rajeswaran|Chelsea Finn|Vikash Kumar;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper327.html;oa;;RLJ;conf/rlc/ZhouKFR24;2025-03-26;;;;;;2264-2283;;;;;;;Policy Architectures for Compositional Generalization in Control.;;;db/journals/rlj/rlj5.html#ZhouKFR24;5;2024.0
1054928;Jonathan D. Chang|Kianté Brantley|Owen Oertell|Wen Sun 0002|Yiyi Zhang;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper210.html;oa;;RLJ;conf/rlc/OertellCZB024;2025-03-26;;;;;;1656-1673;;;;;;;RL for Consistency Models: Reward Guided Text-to-Image Generation with Fast Inference.;;;db/journals/rlj/rlj4.html#OertellCZB024;4;2024.0
1054929;Anisha Singrodia|Cassandra Kent|Eric Eaton|Jorge A. Mendez|Marcel Hussing;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper124.html;oa;;RLJ;conf/rlc/HussingMSKE24;2025-03-26;;;;;;979-994;;;;;;;Robotic Manipulation Datasets for Offline Compositional Reinforcement Learning.;;;db/journals/rlj/rlj2.html#HussingMSKE24;2;2024.0
1054930;Anant Raj|Matin Aghaei|Michael Lu|Sharan Vaswani;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper35.html;oa;;RLJ;conf/rlc/LuARV24;2025-03-26;;;;;;216-282;;;;;;;Towards Principled, Practical Policy Gradient for Bandits and Tabular MDPs.;;;db/journals/rlj/rlj1.html#LuARV24;1;2024.0
1054931;Jacob Adamczyk|Rahul V. Kulkarni|Stas Tiomkin|Volodymyr Makarenko;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper345.html;oa;;RLJ;conf/rlc/AdamczykMTK24;2025-03-26;;;;;;2373-2399;;;;;;;Boosting Soft Q-Learning by Bounding.;;;db/journals/rlj/rlj5.html#AdamczykMTK24;5;2024.0
1054932;Johannes Ackermann|Masashi Sugiyama|Takayuki Osa;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper287.html;oa;;RLJ;conf/rlc/AckermannOS24;2025-03-26;;;;;;2140-2161;;;;;;;Offline Reinforcement Learning from Datasets with Structured Non-Stationarity.;;;db/journals/rlj/rlj5.html#AckermannOS24;5;2024.0
1054933;Carlo D'Eramo|Mahdi Kallel|Oliver Järnefelt;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper40.html;oa;;RLJ;conf/rlc/JarnefeltKD24;2025-03-26;;;;;;366-379;;;;;;;Cyclicity-Regularized Coordination Graphs.;;;db/journals/rlj/rlj1.html#JarnefeltKD24;1;2024.0
1054934;Anikait Singh|Aviral Kumar|Chelsea Finn|Ilya Kostrikov|Jiajun Wu 0001|Kyle Beltran Hatch|Laura Smith 0001|Philip J. Ball|Philippe Hansen-Estruch|Rafael Rafailov|Sergey Levine|Victor Kolev;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper305.html;oa;;RLJ;conf/rlc/RafailovHSKSKHK24;2025-10-10;;;;;;2178-2197;;;;;;;D5RL: Diverse Datasets for Data-Driven Deep Reinforcement Learning.;;;db/journals/rlj/rlj5.html#RafailovHSKSKHK24;5;2024.0
1054935;Adriana Hugessen|Faisal Mohamed|Glen Berseth|Roger Creus Castanyer;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper77.html;oa;;RLJ;conf/rlc/HugessenCMB24;2025-03-26;;;;;;547-562;;;;;;;Surprise-Adaptive Intrinsic Motivation for Unsupervised Reinforcement Learning.;;;db/journals/rlj/rlj2.html#HugessenCMB24;2;2024.0
1054936;Angela Langdon|Nadav Amir|Yael Niv;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper275.html;oa;;RLJ;conf/rlc/AmirNL24;2025-03-26;;;;;;2096-2106;;;;;;;States as goal-directed concepts: an epistemic approach to state-representation learning.;;;db/journals/rlj/rlj5.html#AmirNL24;5;2024.0
