volume_id:ID;number:int;year:int
Comput. Optim. Appl._Vol24.0;24.0;2003.0
Comput. Optim. Appl._Vol86.0;86.0;2023.0
Comput. Optim. Appl._Vol2.0;2.0;1993.0
Comput. Optim. Appl._Vol62.0;62.0;2015.0
Comput. Optim. Appl._Vol79.0;79.0;2021.0
Comput. Optim. Appl._Vol10.0;10.0;1998.0
Comput. Optim. Appl._Vol92.0;92.0;2025.0
Comput. Optim. Appl._Vol85.0;85.0;2023.0
Comput. Optim. Appl._Vol66.0;66.0;2017.0
Comput. Optim. Appl._Vol6.0;6.0;1996.0
Comput. Optim. Appl._Vol17.0;17.0;2000.0
Comput. Optim. Appl._Vol41.0;41.0;2008.0
Comput. Optim. Appl._Vol91.0;91.0;2025.0
Comput. Optim. Appl._Vol76.0;76.0;2020.0
Comput. Optim. Appl._Vol4.0;4.0;1995.0
Comput. Optim. Appl._Vol80.0;80.0;2021.0
Comput. Optim. Appl._Vol63.0;63.0;2016.0
Comput. Optim. Appl._Vol29.0;29.0;2004.0
Comput. Optim. Appl._Vol90.0;90.0;2025.0
Comput. Optim. Appl._Vol48.0;48.0;2011.0
Comput. Optim. Appl._Vol36.0;36.0;2007.0
Comput. Optim. Appl._Vol77.0;77.0;2020.0
Comput. Optim. Appl._Vol37.0;37.0;2007.0
Comput. Optim. Appl._Vol59.0;59.0;2014.0
Comput. Optim. Appl._Vol23.0;23.0;2002.0
Comput. Optim. Appl._Vol67.0;67.0;2017.0
Comput. Optim. Appl._Vol31.0;31.0;2005.0
Comput. Optim. Appl._Vol38.0;38.0;2007.0
Comput. Optim. Appl._Vol82.0;82.0;2022.0
Comput. Optim. Appl._Vol89.0;89.0;2024.0
Comput. Optim. Appl._Vol93.0;93.0;2026.0
Comput. Optim. Appl._Vol72.0;72.0;2019.0
Comput. Optim. Appl._Vol81.0;81.0;2022.0
Comput. Optim. Appl._Vol5.0;5.0;1996.0
Comput. Optim. Appl._Vol50.0;50.0;2011.0
Comput. Optim. Appl._Vol49.0;49.0;2011.0
Comput. Optim. Appl._Vol20.0;20.0;2001.0
Comput. Optim. Appl._Vol84.0;84.0;2023.0
Comput. Optim. Appl._Vol8.0;8.0;1997.0
Comput. Optim. Appl._Vol39.0;39.0;2008.0
Comput. Optim. Appl._Vol33.0;33.0;2006.0
Comput. Optim. Appl._Vol18.0;18.0;2001.0
Comput. Optim. Appl._Vol11.0;11.0;1998.0
Comput. Optim. Appl._Vol16.0;16.0;2000.0
Comput. Optim. Appl._Vol13.0;13.0;1999.0
Comput. Optim. Appl._Vol19.0;19.0;2001.0
Comput. Optim. Appl._Vol25.0;25.0;2003.0
Comput. Optim. Appl._Vol12.0;12.0;1999.0
Comput. Optim. Appl._Vol15.0;15.0;2000.0
IEEE Ann. Hist. Comput._Vol28.0;28.0;2006.0
IEEE Ann. Hist. Comput._Vol20.0;20.0;1998.0
IEEE Ann. Hist. Comput._Vol39.0;39.0;2017.0
IEEE Ann. Hist. Comput._Vol43.0;43.0;2021.0
IEEE Ann. Hist. Comput._Vol29.0;29.0;2007.0
IEEE Ann. Hist. Comput._Vol36.0;36.0;2014.0
IEEE Ann. Hist. Comput._Vol25.0;25.0;2003.0
IEEE Ann. Hist. Comput._Vol38.0;38.0;2016.0
IEEE Ann. Hist. Comput._Vol6.0;6.0;1984.0
IEEE Ann. Hist. Comput._Vol35.0;35.0;2013.0
IEEE Ann. Hist. Comput._Vol34.0;34.0;2012.0
IEEE Ann. Hist. Comput._Vol40.0;40.0;2018.0
IEEE Ann. Hist. Comput._Vol47.0;47.0;2025.0
IEEE Ann. Hist. Comput._Vol11.0;11.0;1989.0
IEEE Ann. Hist. Comput._Vol19.0;19.0;1997.0
IEEE Ann. Hist. Comput._Vol17.0;17.0;1995.0
IEEE Ann. Hist. Comput._Vol14.0;14.0;1992.0
IEEE Ann. Hist. Comput._Vol42.0;42.0;2020.0
IEEE Ann. Hist. Comput._Vol9.0;9.0;1987.0
IEEE Ann. Hist. Comput._Vol3.0;3.0;1981.0
IEEE Ann. Hist. Comput._Vol33.0;33.0;2011.0
IEEE Ann. Hist. Comput._Vol24.0;24.0;2002.0
IEEE Ann. Hist. Comput._Vol31.0;31.0;2009.0
IEEE Ann. Hist. Comput._Vol5.0;5.0;1983.0
IEEE Ann. Hist. Comput._Vol30.0;30.0;2008.0
IEEE Ann. Hist. Comput._Vol23.0;23.0;2001.0
IEEE Ann. Hist. Comput._Vol18.0;18.0;1996.0
IEEE Ann. Hist. Comput._Vol2.0;2.0;1980.0
IEEE Ann. Hist. Comput._Vol22.0;22.0;2000.0
IEEE Ann. Hist. Comput._Vol44.0;44.0;2022.0
IEEE Ann. Hist. Comput._Vol27.0;27.0;2005.0
IEEE Ann. Hist. Comput._Vol16.0;16.0;1994.0
IEEE Ann. Hist. Comput._Vol45.0;45.0;2023.0
IEEE Ann. Hist. Comput._Vol41.0;41.0;2019.0
IEEE Ann. Hist. Comput._Vol37.0;37.0;2015.0
IEEE Ann. Hist. Comput._Vol21.0;21.0;1999.0
IEEE Ann. Hist. Comput._Vol46.0;46.0;2024.0
IEEE Ann. Hist. Comput._Vol8.0;8.0;1986.0
IEEE Ann. Hist. Comput._Vol13.0;13.0;1991.0
IEEE Ann. Hist. Comput._Vol12.0;12.0;1990.0
IEEE Ann. Hist. Comput._Vol32.0;32.0;2010.0
IEEE Ann. Hist. Comput._Vol7.0;7.0;1985.0
IEEE Ann. Hist. Comput._Vol10.0;10.0;1988.0
IEEE Ann. Hist. Comput._Vol1.0;1.0;1979.0
IEEE Ann. Hist. Comput._Vol4.0;4.0;1982.0
IEEE Ann. Hist. Comput._Vol15.0;15.0;1993.0
IEEE Ann. Hist. Comput._Vol26.0;26.0;2004.0
Inf. Syst. Frontiers_Vol25.0;25.0;2023.0
Inf. Syst. Frontiers_Vol19.0;19.0;2017.0
Inf. Syst. Frontiers_Vol9.0;9.0;2007.0
Inf. Syst. Frontiers_Vol21.0;21.0;2019.0
Inf. Syst. Frontiers_Vol26.0;26.0;2024.0
Inf. Syst. Frontiers_Vol13.0;13.0;2011.0
Inf. Syst. Frontiers_Vol10.0;10.0;2008.0
Inf. Syst. Frontiers_Vol24.0;24.0;2022.0
Inf. Syst. Frontiers_Vol17.0;17.0;2015.0
Inf. Syst. Frontiers_Vol18.0;18.0;2016.0
Inf. Syst. Frontiers_Vol6.0;6.0;2004.0
Inf. Syst. Frontiers_Vol23.0;23.0;2021.0
Inf. Syst. Frontiers_Vol5.0;5.0;2003.0
Inf. Syst. Frontiers_Vol27.0;27.0;2025.0
Inf. Syst. Frontiers_Vol11.0;11.0;2009.0
Inf. Syst. Frontiers_Vol7.0;7.0;2005.0
Inf. Syst. Frontiers_Vol22.0;22.0;2020.0
Inf. Syst. Frontiers_Vol14.0;14.0;2012.0
Inf. Syst. Frontiers_Vol20.0;20.0;2018.0
Inf. Syst. Frontiers_Vol16.0;16.0;2014.0
Inf. Syst. Frontiers_Vol8.0;8.0;2006.0
Inf. Syst. Frontiers_Vol1.0;1.0;1999.0
Inf. Syst. Frontiers_Vol12.0;12.0;2010.0
Inf. Syst. Frontiers_Vol4.0;4.0;2002.0
Inf. Syst. Frontiers_Vol15.0;15.0;2013.0
Inf. Syst. Frontiers_Vol1.0;1.0;2000.0
Inf. Syst. Frontiers_Vol3.0;3.0;2001.0
Inf. Syst. Frontiers_Vol2.0;2.0;2000.0
SIGIR Forum_Vol32.0;32.0;1998.0
SIGIR Forum_Vol11.0;11.0;1976.0
SIGIR Forum_Vol48.0;48.0;2014.0
SIGIR Forum_Vol52.0;52.0;2018.0
SIGIR Forum_Vol39.0;39.0;2005.0
SIGIR Forum_Vol54.0;54.0;2020.0
SIGIR Forum_Vol45.0;45.0;2011.0
SIGIR Forum_Vol58.0;58.0;2024.0
SIGIR Forum_Vol44.0;44.0;2010.0
SIGIR Forum_Vol13.0;13.0;1979.0
SIGIR Forum_Vol18.0;18.0;1984.0
SIGIR Forum_Vol55.0;55.0;2021.0
SIGIR Forum_Vol41.0;41.0;2007.0
SIGIR Forum_Vol59.0;59.0;2025.0
SIGIR Forum_Vol49.0;49.0;2015.0
SIGIR Forum_Vol29.0;29.0;1995.0
SIGIR Forum_Vol43.0;43.0;2009.0
SIGIR Forum_Vol47.0;47.0;2013.0
SIGIR Forum_Vol56.0;56.0;2022.0
SIGIR Forum_Vol17.0;17.0;1982.0
SIGIR Forum_Vol15.0;15.0;1980.0
SIGIR Forum_Vol21.0;21.0;1987.0
SIGIR Forum_Vol35.0;35.0;2001.0
SIGIR Forum_Vol24.0;24.0;1990.0
SIGIR Forum_Vol42.0;42.0;2008.0
SIGIR Forum_Vol38.0;38.0;2004.0
SIGIR Forum_Vol30.0;30.0;1996.0
SIGIR Forum_Vol50.0;50.0;2016.0
SIGIR Forum_Vol40.0;40.0;2006.0
SIGIR Forum_Vol19.0;19.0;1986.0
SIGIR Forum_Vol33.0;33.0;1999.0
SIGIR Forum_Vol51.0;51.0;2017.0
SIGIR Forum_Vol57.0;57.0;2023.0
SIGIR Forum_Vol37.0;37.0;2003.0
SIGIR Forum_Vol14.0;14.0;1980.0
SIGIR Forum_Vol10.0;10.0;1976.0
SIGIR Forum_Vol15.0;15.0;1981.0
SIGIR Forum_Vol20.0;20.0;1986.0
SIGIR Forum_Vol16.0;16.0;1982.0
SIGIR Forum_Vol10.0;10.0;1975.0
SIGIR Forum_Vol34.0;34.0;2000.0
SIGIR Forum_Vol36.0;36.0;2002.0
SIGIR Forum_Vol9.0;9.0;1974.0
SIGIR Forum_Vol23.0;23.0;1989.0
SIGIR Forum_Vol53.0;53.0;2019.0
SIGIR Forum_Vol46.0;46.0;2012.0
SIGIR Forum_Vol25.0;25.0;1991.0
SIGIR Forum_Vol12.0;12.0;1977.0
SIGIR Forum_Vol22.0;22.0;1988.0
SIGIR Forum_Vol16.0;16.0;1981.0
SIGIR Forum_Vol27.0;27.0;1993.0
SIGIR Forum_Vol8.0;8.0;1973.0
SIGIR Forum_Vol7.0;7.0;1972.0
SIGIR Forum_Vol11.0;11.0;1977.0
SIGIR Forum_Vol28.0;28.0;1994.0
SIGIR Forum_Vol26.0;26.0;1992.0
SIGIR Forum_Vol31.0;31.0;1997.0
SIGIR Forum_Vol18.0;18.0;1985.0
SIGIR Forum_Vol12.0;12.0;1978.0
SIGIR Forum_Vol9.0;9.0;1975.0
