volume_id:ID;number:int;year:int
IEEE Trans. Educ._Vol44;44;2001.0
IEEE Trans. Educ._Vol62;62;2019.0
IEEE Trans. Educ._Vol58;58;2015.0
IEEE Trans. Educ._Vol63;63;2020.0
Int. J. Neural Syst._Vol33;33;2023.0
Int. J. Neural Syst._Vol5;5;1994.0
Int. J. Neural Syst._Vol7;7;1996.0
Int. J. Neural Syst._Vol2;2;1991.0
Int. J. Neural Syst._Vol29;29;2019.0
Int. J. Neural Syst._Vol15;15;2005.0
Int. J. Neural Syst._Vol10;10;2000.0
Int. J. Neural Syst._Vol19;19;2009.0
Int. J. Neural Syst._Vol30;30;2020.0
Int. J. Neural Syst._Vol21;21;2011.0
Int. J. Neural Syst._Vol23;23;2013.0
Int. J. Neural Syst._Vol35;35;2025.0
Int. J. Neural Syst._Vol36;36;2026.0
Int. J. Neural Syst._Vol22;22;2012.0
Int. J. Neural Syst._Vol32;32;2022.0
Int. J. Neural Syst._Vol9;9;1999.0
Int. J. Neural Syst._Vol26;26;2016.0
Int. J. Neural Syst._Vol16;16;2006.0
Int. J. Neural Syst._Vol17;17;2007.0
Int. J. Neural Syst._Vol27;27;2017.0
Int. J. Neural Syst._Vol3;3;1992.0
Int. J. Neural Syst._Vol34;34;2024.0
Int. J. Neural Syst._Vol8;8;1997.0
Int. J. Neural Syst._Vol31;31;2021.0
Int. J. Neural Syst._Vol6;6;1995.0
Int. J. Neural Syst._Vol4;4;1993.0
Int. J. Neural Syst._Vol11;11;2001.0
Int. J. Neural Syst._Vol1;1;1991.0
Int. J. Neural Syst._Vol24;24;2014.0
Int. J. Neural Syst._Vol20;20;2010.0
Int. J. Neural Syst._Vol18;18;2008.0
Int. J. Neural Syst._Vol13;13;2003.0
Int. J. Neural Syst._Vol12;12;2002.0
Int. J. Neural Syst._Vol14;14;2004.0
Int. J. Neural Syst._Vol1;1;1989.0
Int. J. Neural Syst._Vol28;28;2018.0
Int. J. Neural Syst._Vol1;1;1990.0
Int. J. Neural Syst._Vol25;25;2015.0
Comput. Optim. Appl._Vol26;26;2003.0
Comput. Optim. Appl._Vol34;34;2006.0
Comput. Optim. Appl._Vol9;9;1998.0
Comput. Optim. Appl._Vol51;51;2012.0
Comput. Optim. Appl._Vol21;21;2002.0
Comput. Optim. Appl._Vol28;28;2004.0
Comput. Optim. Appl._Vol44;44;2009.0
Comput. Optim. Appl._Vol32;32;2005.0
Comput. Optim. Appl._Vol14;14;1999.0
Comput. Optim. Appl._Vol71;71;2018.0
Comput. Optim. Appl._Vol64;64;2016.0
Comput. Optim. Appl._Vol35;35;2006.0
Comput. Optim. Appl._Vol61;61;2015.0
Comput. Optim. Appl._Vol60;60;2015.0
Comput. Optim. Appl._Vol46;46;2010.0
Comput. Optim. Appl._Vol74;74;2019.0
Comput. Optim. Appl._Vol58;58;2014.0
Comput. Optim. Appl._Vol65;65;2016.0
Comput. Optim. Appl._Vol69;69;2018.0
Comput. Optim. Appl._Vol87;87;2024.0
Comput. Optim. Appl._Vol68;68;2017.0
Comput. Optim. Appl._Vol27;27;2004.0
Comput. Optim. Appl._Vol78;78;2021.0
Comput. Optim. Appl._Vol42;42;2009.0
Comput. Optim. Appl._Vol57;57;2014.0
Comput. Optim. Appl._Vol70;70;2018.0
Comput. Optim. Appl._Vol75;75;2020.0
Comput. Optim. Appl._Vol1;1;1993.0
Comput. Optim. Appl._Vol73;73;2019.0
Comput. Optim. Appl._Vol40;40;2008.0
Comput. Optim. Appl._Vol30;30;2005.0
Comput. Optim. Appl._Vol22;22;2002.0
Comput. Optim. Appl._Vol45;45;2010.0
Comput. Optim. Appl._Vol52;52;2012.0
Comput. Optim. Appl._Vol56;56;2013.0
Comput. Optim. Appl._Vol55;55;2013.0
Comput. Optim. Appl._Vol1;1;1992.0
Comput. Optim. Appl._Vol54;54;2013.0
Comput. Optim. Appl._Vol47;47;2010.0
Comput. Optim. Appl._Vol3;3;1994.0
Comput. Optim. Appl._Vol83;83;2022.0
Comput. Optim. Appl._Vol7;7;1997.0
Comput. Optim. Appl._Vol88;88;2024.0
Comput. Optim. Appl._Vol43;43;2009.0
Comput. Optim. Appl._Vol53;53;2012.0
Comput. Optim. Appl._Vol24;24;2003.0
Comput. Optim. Appl._Vol86;86;2023.0
Comput. Optim. Appl._Vol2;2;1993.0
Comput. Optim. Appl._Vol62;62;2015.0
Comput. Optim. Appl._Vol79;79;2021.0
Comput. Optim. Appl._Vol10;10;1998.0
Comput. Optim. Appl._Vol92;92;2025.0
Comput. Optim. Appl._Vol85;85;2023.0
Comput. Optim. Appl._Vol66;66;2017.0
Comput. Optim. Appl._Vol6;6;1996.0
Comput. Optim. Appl._Vol17;17;2000.0
Comput. Optim. Appl._Vol41;41;2008.0
Comput. Optim. Appl._Vol91;91;2025.0
Comput. Optim. Appl._Vol76;76;2020.0
Comput. Optim. Appl._Vol4;4;1995.0
Comput. Optim. Appl._Vol80;80;2021.0
Comput. Optim. Appl._Vol63;63;2016.0
Comput. Optim. Appl._Vol29;29;2004.0
Comput. Optim. Appl._Vol90;90;2025.0
Comput. Optim. Appl._Vol48;48;2011.0
Comput. Optim. Appl._Vol36;36;2007.0
Comput. Optim. Appl._Vol77;77;2020.0
Comput. Optim. Appl._Vol37;37;2007.0
Comput. Optim. Appl._Vol59;59;2014.0
Comput. Optim. Appl._Vol23;23;2002.0
Comput. Optim. Appl._Vol67;67;2017.0
Comput. Optim. Appl._Vol31;31;2005.0
Comput. Optim. Appl._Vol38;38;2007.0
Comput. Optim. Appl._Vol82;82;2022.0
Comput. Optim. Appl._Vol89;89;2024.0
Comput. Optim. Appl._Vol93;93;2026.0
Comput. Optim. Appl._Vol72;72;2019.0
Comput. Optim. Appl._Vol81;81;2022.0
Comput. Optim. Appl._Vol5;5;1996.0
Comput. Optim. Appl._Vol50;50;2011.0
Comput. Optim. Appl._Vol49;49;2011.0
Comput. Optim. Appl._Vol20;20;2001.0
Comput. Optim. Appl._Vol84;84;2023.0
Comput. Optim. Appl._Vol8;8;1997.0
Comput. Optim. Appl._Vol39;39;2008.0
Comput. Optim. Appl._Vol33;33;2006.0
Comput. Optim. Appl._Vol18;18;2001.0
Comput. Optim. Appl._Vol11;11;1998.0
Comput. Optim. Appl._Vol16;16;2000.0
Comput. Optim. Appl._Vol13;13;1999.0
Comput. Optim. Appl._Vol19;19;2001.0
Comput. Optim. Appl._Vol25;25;2003.0
Comput. Optim. Appl._Vol12;12;1999.0
Comput. Optim. Appl._Vol15;15;2000.0
IEEE Ann. Hist. Comput._Vol28;28;2006.0
IEEE Ann. Hist. Comput._Vol20;20;1998.0
IEEE Ann. Hist. Comput._Vol39;39;2017.0
IEEE Ann. Hist. Comput._Vol43;43;2021.0
IEEE Ann. Hist. Comput._Vol29;29;2007.0
IEEE Ann. Hist. Comput._Vol36;36;2014.0
IEEE Ann. Hist. Comput._Vol25;25;2003.0
IEEE Ann. Hist. Comput._Vol38;38;2016.0
IEEE Ann. Hist. Comput._Vol6;6;1984.0
IEEE Ann. Hist. Comput._Vol35;35;2013.0
IEEE Ann. Hist. Comput._Vol34;34;2012.0
IEEE Ann. Hist. Comput._Vol40;40;2018.0
IEEE Ann. Hist. Comput._Vol47;47;2025.0
IEEE Ann. Hist. Comput._Vol11;11;1989.0
IEEE Ann. Hist. Comput._Vol19;19;1997.0
IEEE Ann. Hist. Comput._Vol17;17;1995.0
IEEE Ann. Hist. Comput._Vol14;14;1992.0
IEEE Ann. Hist. Comput._Vol42;42;2020.0
IEEE Ann. Hist. Comput._Vol9;9;1987.0
IEEE Ann. Hist. Comput._Vol3;3;1981.0
IEEE Ann. Hist. Comput._Vol33;33;2011.0
IEEE Ann. Hist. Comput._Vol24;24;2002.0
IEEE Ann. Hist. Comput._Vol31;31;2009.0
IEEE Ann. Hist. Comput._Vol5;5;1983.0
IEEE Ann. Hist. Comput._Vol30;30;2008.0
IEEE Ann. Hist. Comput._Vol23;23;2001.0
IEEE Ann. Hist. Comput._Vol18;18;1996.0
IEEE Ann. Hist. Comput._Vol2;2;1980.0
IEEE Ann. Hist. Comput._Vol22;22;2000.0
IEEE Ann. Hist. Comput._Vol44;44;2022.0
IEEE Ann. Hist. Comput._Vol27;27;2005.0
IEEE Ann. Hist. Comput._Vol16;16;1994.0
IEEE Ann. Hist. Comput._Vol45;45;2023.0
IEEE Ann. Hist. Comput._Vol41;41;2019.0
IEEE Ann. Hist. Comput._Vol37;37;2015.0
IEEE Ann. Hist. Comput._Vol21;21;1999.0
IEEE Ann. Hist. Comput._Vol46;46;2024.0
IEEE Ann. Hist. Comput._Vol8;8;1986.0
IEEE Ann. Hist. Comput._Vol13;13;1991.0
IEEE Ann. Hist. Comput._Vol12;12;1990.0
IEEE Ann. Hist. Comput._Vol32;32;2010.0
IEEE Ann. Hist. Comput._Vol7;7;1985.0
IEEE Ann. Hist. Comput._Vol10;10;1988.0
IEEE Ann. Hist. Comput._Vol1;1;1979.0
IEEE Ann. Hist. Comput._Vol4;4;1982.0
IEEE Ann. Hist. Comput._Vol15;15;1993.0
IEEE Ann. Hist. Comput._Vol26;26;2004.0
Inf. Syst. Frontiers_Vol25;25;2023.0
Inf. Syst. Frontiers_Vol19;19;2017.0
Inf. Syst. Frontiers_Vol9;9;2007.0
Inf. Syst. Frontiers_Vol21;21;2019.0
Inf. Syst. Frontiers_Vol26;26;2024.0
Inf. Syst. Frontiers_Vol13;13;2011.0
Inf. Syst. Frontiers_Vol10;10;2008.0
Inf. Syst. Frontiers_Vol24;24;2022.0
Inf. Syst. Frontiers_Vol17;17;2015.0
Inf. Syst. Frontiers_Vol18;18;2016.0
Inf. Syst. Frontiers_Vol6;6;2004.0
Inf. Syst. Frontiers_Vol23;23;2021.0
Inf. Syst. Frontiers_Vol5;5;2003.0
Inf. Syst. Frontiers_Vol27;27;2025.0
Inf. Syst. Frontiers_Vol11;11;2009.0
Inf. Syst. Frontiers_Vol7;7;2005.0
Inf. Syst. Frontiers_Vol22;22;2020.0
Inf. Syst. Frontiers_Vol14;14;2012.0
Inf. Syst. Frontiers_Vol20;20;2018.0
Inf. Syst. Frontiers_Vol16;16;2014.0
Inf. Syst. Frontiers_Vol8;8;2006.0
Inf. Syst. Frontiers_Vol1;1;1999.0
Inf. Syst. Frontiers_Vol12;12;2010.0
Inf. Syst. Frontiers_Vol4;4;2002.0
Inf. Syst. Frontiers_Vol15;15;2013.0
Inf. Syst. Frontiers_Vol1;1;2000.0
Inf. Syst. Frontiers_Vol3;3;2001.0
Inf. Syst. Frontiers_Vol2;2;2000.0
SIGIR Forum_Vol32;32;1998.0
SIGIR Forum_Vol11;11;1976.0
SIGIR Forum_Vol48;48;2014.0
SIGIR Forum_Vol52;52;2018.0
SIGIR Forum_Vol39;39;2005.0
SIGIR Forum_Vol54;54;2020.0
SIGIR Forum_Vol45;45;2011.0
SIGIR Forum_Vol58;58;2024.0
SIGIR Forum_Vol44;44;2010.0
SIGIR Forum_Vol13;13;1979.0
SIGIR Forum_Vol18;18;1984.0
SIGIR Forum_Vol55;55;2021.0
SIGIR Forum_Vol41;41;2007.0
SIGIR Forum_Vol59;59;2025.0
SIGIR Forum_Vol49;49;2015.0
SIGIR Forum_Vol29;29;1995.0
SIGIR Forum_Vol43;43;2009.0
SIGIR Forum_Vol47;47;2013.0
SIGIR Forum_Vol56;56;2022.0
SIGIR Forum_Vol17;17;1982.0
SIGIR Forum_Vol15;15;1980.0
SIGIR Forum_Vol21;21;1987.0
SIGIR Forum_Vol35;35;2001.0
SIGIR Forum_Vol24;24;1990.0
SIGIR Forum_Vol42;42;2008.0
SIGIR Forum_Vol38;38;2004.0
SIGIR Forum_Vol30;30;1996.0
SIGIR Forum_Vol50;50;2016.0
SIGIR Forum_Vol40;40;2006.0
SIGIR Forum_Vol19;19;1986.0
SIGIR Forum_Vol33;33;1999.0
SIGIR Forum_Vol51;51;2017.0
SIGIR Forum_Vol57;57;2023.0
SIGIR Forum_Vol37;37;2003.0
SIGIR Forum_Vol14;14;1980.0
SIGIR Forum_Vol10;10;1976.0
SIGIR Forum_Vol15;15;1981.0
SIGIR Forum_Vol20;20;1986.0
SIGIR Forum_Vol16;16;1982.0
SIGIR Forum_Vol10;10;1975.0
SIGIR Forum_Vol34;34;2000.0
SIGIR Forum_Vol36;36;2002.0
SIGIR Forum_Vol9;9;1974.0
SIGIR Forum_Vol23;23;1989.0
SIGIR Forum_Vol53;53;2019.0
SIGIR Forum_Vol46;46;2012.0
SIGIR Forum_Vol25;25;1991.0
SIGIR Forum_Vol12;12;1977.0
SIGIR Forum_Vol22;22;1988.0
SIGIR Forum_Vol16;16;1981.0
SIGIR Forum_Vol27;27;1993.0
SIGIR Forum_Vol8;8;1973.0
SIGIR Forum_Vol7;7;1972.0
SIGIR Forum_Vol11;11;1977.0
SIGIR Forum_Vol28;28;1994.0
SIGIR Forum_Vol26;26;1992.0
SIGIR Forum_Vol31;31;1997.0
SIGIR Forum_Vol18;18;1985.0
SIGIR Forum_Vol12;12;1978.0
SIGIR Forum_Vol9;9;1975.0
